external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJL0NlCczlukARotyEGWV5WUE,Black Beauty Salon Constanta,Salon de înfrumusețare,"Strada Avram Iancu nr 63, Constanta",900178,Constanța,44.1793758,28.6380414,https://www.blackbeautysalon.ro/preturi-servicii/,+40727039202,,,,,,,,,,,https://www.google.com/maps/place/Black+Beauty+Salon+Constanta/data=!4m7!3m6!1s0x40bae5cc0965432f:0x415979651984dca2!8m2!3d44.1793758!4d28.6380414!16s%2Fg%2F11gw1ts6dy!19sChIJL0NlCczlukARotyEGWV5WUE?authuser=0&hl=ru&rclk=1,open,sâmbătă: 10–16; duminică: Închis; luni: Închis; marți: 10–18; miercuri: 10–18; joi: 10–18; vineri: 10–18
ChIJo8JOjd37ukARzzfgS1I0jN0,atelier 214 Hair & Beauty,Salon de înfrumusețare,"Bulevardul Mamaia 214, Constanta",900001,Constanța,44.2022799,28.6458732,,+40724411844,,,,,,,,,,,https://www.google.com/maps/place/atelier+214+Hair+%26+Beauty/data=!4m7!3m6!1s0x40bafbdd8d4ec2a3:0xdd8c34524be037cf!8m2!3d44.2022799!4d28.6458732!16s%2Fg%2F11rb2cl3ns!19sChIJo8JOjd37ukARzzfgS1I0jN0?authuser=0&hl=ru&rclk=1,open,sâmbătă: 09–16; duminică: Închis; luni: 09–17; marți: 09–17; miercuri: 09–17; joi: 09–17; vineri: 09–17
ChIJfU0_LTrlukARKvK0CeBt5rw,Peppermint,Salon de înfrumusețare,"Bulevardul Tomis nr. 29, Constanta",900742,Constanța,44.1753804,28.6560742,,+40759433283,,,,,,,,,,,https://www.google.com/maps/place/Peppermint/data=!4m7!3m6!1s0x40bae53a2d3f4d7d:0xbce66de009b4f22a!8m2!3d44.1753804!4d28.6560742!16s%2Fg%2F11j4tbgg2x!19sChIJfU0_LTrlukARKvK0CeBt5rw?authuser=0&hl=ru&rclk=1,open,sâmbătă: 10–16; duminică: 10–18; luni: 10–18:30; marți: 10–18:30; miercuri: 10–18:30; joi: 10–18:30; vineri: 10–16:30
ChIJ09WebQ_wukARSVKkIdbuIzA,Ileana Cosanzeana Salon,Salon de înfrumusețare,"Strada Nicolae Iorga 28b, Constanta",900597,Constanța,44.1872047,28.6409417,https://www.ileana-cosanzeana-salon.ro/contact/,+40723039293,contact@ileana-cosanzeana-salon.ro,https://www.facebook.com/IleanaCosanzeanaBeautySalon,https://instagram.com/ileana_cosanzeana_beauty_salon,,,,,,,,https://www.google.com/maps/place/Ileana+Cosanzeana+Salon/data=!4m7!3m6!1s0x40baf00f6d9ed5d3:0x3023eed621a45249!8m2!3d44.1872047!4d28.6409417!16s%2Fg%2F11f_zm03h7!19sChIJ09WebQ_wukARSVKkIdbuIzA?authuser=0&hl=ru&rclk=1,open,sâmbătă: 09–17; duminică: Închis; luni: Închis; marți: 09–17; miercuri: 09–17; joi: 09–17; vineri: 09–17
ChIJYYhwLjzxukARv504QzNC7HI,Beauty Empire,Salon de înfrumusețare,"Strada Dobrilă Eugeniu 19a, Constanta",900502,Constanța,44.2114471,28.6232726,,+40742058181,,,,,,,,,,,https://www.google.com/maps/place/Beauty+Empire/data=!4m7!3m6!1s0x40baf13c2e708861:0x72ec423343389dbf!8m2!3d44.2114471!4d28.6232726!16s%2Fg%2F11vr_63kxk!19sChIJYYhwLjzxukARv504QzNC7HI?authuser=0&hl=ru&rclk=1,open,sâmbătă: 09–21; duminică: 09–21; luni: 09–21; marți: 09–21; miercuri: 09–21; joi: 09–21; vineri: 09–21
ChIJs-AcxsPlukAREe6Z0sZwalw,Lala Chirila Boutique,Salon de înfrumusețare,"Strada Ștefan cel Mare 93, Constanta",900698,Constanța,44.1751186,28.6423212,,+40772172758,,,,,,,,,,,https://www.google.com/maps/place/Lala+Chirila+Boutique/data=!4m7!3m6!1s0x40bae5c3c61ce0b3:0x5c6a70c6d299ee11!8m2!3d44.1751186!4d28.6423212!16s%2Fg%2F11sb86mrtp!19sChIJs-AcxsPlukAREe6Z0sZwalw?authuser=0&hl=ru&rclk=1,open,sâmbătă: 08–20; duminică: 08–20; luni: 08–20; marți: 08–20; miercuri: 08–20; joi: 08–20; vineri: 08–20
ChIJZXVfoELxukAR6-Rky5eOHtI,Sanja Lazăr COAFOR TOMIS PLUS,Coafor,"Strada Budapesta 4, Constanta",900001,Constanța,44.2211343,28.5965907,,+40739685620,,,,,,,,,,,https://www.google.com/maps/place/Sanja+Laz%C4%83r+COAFOR+TOMIS+PLUS/data=!4m7!3m6!1s0x40baf142a05f7565:0xd21e8e97cb64e4eb!8m2!3d44.2211343!4d28.5965907!16s%2Fg%2F11qm3thbpt!19sChIJZXVfoELxukAR6-Rky5eOHtI?authuser=0&hl=ru&rclk=1,open,sâmbătă: 09–15; duminică: Închis; luni: Închis; marți: 10–18; miercuri: 10–18; joi: 10–18; vineri: Închis
ChIJTRXrX2b7ukARXAsAt2zO6N8,Luxury Pearl Salon Beauty,Salon de înfrumusețare,"Bulevardul Mamaia 195, Constanta",900552,Constanța,44.1999896,28.6465664,https://www.luxury-pearl.ro/rezerva-acum,+40734230230,contact@luxury-pearl.ro,https://www.facebook.com/luxurypearl.beauty,https://www.instagram.com/luxurypearl.beauty,https://api.whatsapp.com/send?phone=40734230230,,,,,,,https://www.google.com/maps/place/Luxury+Pearl+Salon+Beauty/data=!4m7!3m6!1s0x40bafb665feb154d:0xdfe8ce6cb7000b5c!8m2!3d44.1999896!4d28.6465664!16s%2Fg%2F11vwsf1ql5!19sChIJTRXrX2b7ukARXAsAt2zO6N8?authuser=0&hl=ru&rclk=1,open,sâmbătă: 10–18; duminică: Închis; luni: 10–19; marți: 10–19; miercuri: 10–19; joi: 10–19; vineri: 10–19
ChIJXR5wLOHlukARnYJTv0x84v8,Sisco Beauty and Barber,Coafor,"Strada Miron Costin 22A, Constanta",900534,Constanța,44.1792816,28.6460709,,+40766514542,,,,,,,,,,,https://www.google.com/maps/place/Sisco+Beauty+and+Barber/data=!4m7!3m6!1s0x40bae5e12c701e5d:0xffe27c4cbf53829d!8m2!3d44.1792816!4d28.6460709!16s%2Fg%2F11hzhfprz5!19sChIJXR5wLOHlukARnYJTv0x84v8?authuser=0&hl=ru&rclk=1,open,sâmbătă: 10–17; duminică: Închis; luni: Închis; marți: 10–19; miercuri: 10–19; joi: 10–19; vineri: 10–19
ChIJK0thb2_lukARrjrqby6LzPE,Kamani Salon,Salon de înfrumusețare,"Str. Oleg Danovski Nr40, Constanta",900525,Constanța,44.1942745,28.6540926,,+40731008701,,,,,,,,,,,https://www.google.com/maps/place/Kamani+Salon/data=!4m7!3m6!1s0x40bae56f6f614b2b:0xf1cc8b2e6fea3aae!8m2!3d44.1942745!4d28.6540926!16s%2Fg%2F11lgrrtx0t!19sChIJK0thb2_lukARrjrqby6LzPE?authuser=0&hl=ru&rclk=1,open,sâmbătă: 07–22; duminică: Închis; luni: 09–17; marți: 07–22; miercuri: 07–22; joi: 07–22; vineri: 07–22
